Name	Dateofworkshop	Phonenumber	EmailAddress	Age	Gender	AnesthesiaExperience(postresidency)	TraininginUS-guidedPNBduringresidency	HospitalAffliation	%PracticeDevotedtoPNB	AveragenumberofPNBperformedinatypicalmonth	HighestnumberofPNBperformedinonemonth	Ifeelcomfortableplacingperineuralcatheters	IfeelcomfortableusingultrasoundPNB	IamanexpertinUSRA	DoyouuseUS-guidancetoperformregionalanesthesia	IfyouuseUS-guidedRAwhat%oftime	Combinedultrasound-simulation	IfyoudonotcurrentlyuseultrasoundforPNBmostimportantreason	PreferredNervelocalizationtechnique:Interscalene	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Interscalene	PreferredNervelocalizationtechnique:Supraclavicular	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Supraclavicular	PreferredNervelocalizationtechnique:Infraclavicular	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Infraclavicular	PreferredNervelocalizationtechnique:Axillary	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Axillary	PreferredNervelocalizationtechnique:Femoral	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Femoral	PreferredNervelocalizationtechnique:Sciatic(otherthanpopliteal)	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Sciatic(otherthanpopliteal)	PreferredNervelocalizationtechnique:Popliteal	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Popliteal	PreferredNervelocalizationtechnique:TAP	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:TAP	PreferredNervelocalizationtechnique:PosteriorLumbarplexus	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:PosteriorLumbarplexus	PreferredNervelocalizationtechnique:Paravertebral	Catheter%(ifapplicable)	ComfortLevelplacingperineuralcatheter:Paravertebral	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Preferenceforothernervelocalizationtechniques	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:DidacticLectures	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Scanningonmodelsataworkshop	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Phantompractice(e.g.bluephantomormeat)	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Observationofrealprocedures	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Onlineandotherelectronictutorials	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Textbooks	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Teachingbycolleagues	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Self-teaching	PerceptionofeffectivenessofUS-guidedPNBteachingmethods:Mannequinsimulation(immersivelearning)	EncounteredduringanytimeofpracticingRegionalAnesthesia:AnxiousPatient	EncounteredduringanytimeofpracticingRegionalAnesthesia:Anaphylaxisormajorallergicreaction	EncounteredduringanytimeofpracticingRegionalAnesthesia:Localanestheticsystemictoxicity	EncounteredduringanytimeofpracticingRegionalAnesthesia:Tachycardiaduetointravascularinjectionoflocalanestheticsolutionwithepinephrine	EncounteredduringanytimeofpracticingRegionalAnesthesia:Wrongsiteblock	EncounteredduringanytimeofpracticingRegionalAnesthesia:Vasovagalreaction	EncounteredduringanytimeofpracticingRegionalAnesthesia:Inadvertenetparesthesia	LipidRescuepackavailablewherePNBisperformed	Othernotes	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Inadequatetechnicalskills	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Availabilityofultrasoundequipment	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Timepressure	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Supportfromsurgeons	IfyoudonotcurrentlyuseultrasoundforPNBrankobstacles:Preferenceforothernervelocalizationtechniques
masked	5/23/2014	masked	masked	63	1	35	2	2	1000	10	15	1000	1000	1000	1000	1000	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	1	1000	1000	0	1000	1000	1	1000	1000	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	5	3	2	5	3	5	5	1000	1000	1	2	2	2	2	2	2	1	NA	1000	1000	1000	1000	1000
masked	5/23/2014	masked	masked	40	2	8	1	2	1000	12	25	1000	1000	1000	1000	1000	1000	1000	1	1000	1	1	1000	1	1	1000	2	1	1000	1	1	1000	1	1	1000	3	1	1000	1	1	1000	3	1000	1000	1000	1000	1000	1000	1000	2	1000	1000	1000	1000	1000	1000	1000	1000	1	2	2	2	2	1	1	1	NA	1000	1000	1000	1000	1000
masked	5/23/2014	masked	masked	42	1	11	2	2	1000	12.5	20	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	4	1	1000	5	1	1000	5	1	1000	5	3	1000	2	1	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	4	3	5	3	3	5	1000	4	1	2	2	2	2	1	1	1	NA	1000	1000	1000	1000	1000
masked	3/21/2014	masked	masked	33	2	1000	1	2	1000	17.5	30	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	4	0	1000	3	1	1000	4	1	1000	5	1	1000	3	1	1000	5	1	1000	1	1000	1000	1000	1000	1000	1000	1000	1	4	3	5	1000	1000	2	1000	1000	1	2	2	2	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	3/21/2014	masked	masked	37	1	5	1	1000	1000	20	30	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	0	1000	1000	1	1000	4	1	1000	5	0	1000	1000	1	1000	5	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	5	1	3	4	3	5	1000	3	1	2	2	1	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	NA	masked	masked	57	1	20	2	2	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1	1000	3	1	1000	2	1	1000	2	1	1000	4	1	1000	3	0	1000	1000	1	1000	2	1	1000	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	NA	1000	1000	1000	1000	1000
masked	2/21/2014	masked	masked	54	1	25	2	1	1000	40	80	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	1	1000	5	0	1000	1000	1	1000	5	3	1000	3	3	1000	5	1	1000	4	1000	1000	1000	1000	1000	1000	1000	3	5	3	4	3	2	5	1000	5	1	2	1	1	2	1	1	1	NA	1000	1000	1000	1000	1000
masked	2/21/2014	masked	masked	34	1	5	1	2	1000	20	80	1000	1000	1000	1000	1000	1000	1000	1	1000	5	1	1000	5	1	1000	5	1	1000	5	1	1000	5	1	1000	4	1	1000	4	1	1000	3	1000	1000	1000	1000	1000	1000	1000	2	4	3	5	3	2	5	1000	5	1	2	1	1	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	6/28/2013	masked	masked	57	1	21	2	2	1000	14	20	1000	1000	1000	1000	1000	1000	1000	1	1000	3	1	1000	1	0	1000	1000	1	1000	4	1	1000	4	0	1000	1000	0	1000	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	3	4	3	4	4	3	3	1000	4	1	2	2	1	2	2	1	1	NA	1000	1000	1000	1000	1000
masked	6/28/2013	masked	masked	35	1	4	1	2	1000	4.5	10	1000	1000	1000	1000	1000	1000	1000	2	1000	5	2	1000	3	2	1000	3	4	1000	1	1	1000	4	2	1000	2	2	1000	3	0	1000	1	1000	1000	1000	1000	1000	1000	1000	3	3	3	4	2	2	3	1000	5	2	2	2	2	2	2	2	1	NA	1000	1000	1	1000	1000
